"File","Date","Hour"
"wbkz_2_5km_20161108T06Z.nc","20161108","06"
"t2myr_kf_0_5km_mbr0_20161108T18Z.nc","20161108","18"
"t2myr_kf_0_5km_mbr0_20161108T12Z.nc","20161108","12"
"t2myr_kf_0_5km_mbr0_20161108T06Z.nc","20161108","06"
"t2myr_kf_0_5km_mbr0_20161108T00Z.nc","20161108","00"
"meps_subset_2_5km_20161108T18Z.nc","20161108","18"
"meps_subset_2_5km_20161108T12Z.nc","20161108","12"
"meps_subset_2_5km_20161108T06Z.nc","20161108","06"
"meps_subset_2_5km_20161108T00Z.nc","20161108","00"
"meps_mbr0_vc_2_5km_20161108T18Z.nc","20161108","18"
"meps_mbr0_vc_2_5km_20161108T12Z.nc","20161108","12"
"meps_mbr0_vc_2_5km_20161108T06Z.nc","20161108","06"
"meps_mbr0_vc_2_5km_20161108T00Z.nc","20161108","00"
"meps_mbr0_ppalgs_plevels_2_5km_20161108T18Z.nc","20161108","18"
"meps_mbr0_ppalgs_plevels_2_5km_20161108T12Z.nc","20161108","12"
"meps_mbr0_ppalgs_plevels_2_5km_20161108T06Z.nc","20161108","06"
"meps_mbr0_ppalgs_plevels_2_5km_20161108T00Z.nc","20161108","00"
"meps_mbr0_pp_2_5km_20161108T18Z.nc","20161108","18"
"meps_mbr0_pp_2_5km_20161108T12Z.nc","20161108","12"
"meps_mbr0_pp_2_5km_20161108T06Z.nc","20161108","06"
"meps_mbr0_pp_2_5km_20161108T00Z.nc","20161108","00"
"meps_mbr0_full_backup_2_5km_20161108T00Z.nc","20161108","00"
"meps_mbr0_extracted_backup_2_5km_20161108T00Z.nc","20161108","00"
"wbkz_2_5km_mbr1_20161109T06Z.nc","20161109","06"
"wbkz_2_5km_20161109T06Z.nc","20161109","06"
"t2myr_kf_0_5km_mbr1_20161109T18Z.nc","20161109","18"
"t2myr_kf_0_5km_mbr1_20161109T12Z.nc","20161109","12"
"t2myr_kf_0_5km_mbr1_20161109T06Z.nc","20161109","06"
"t2myr_kf_0_5km_mbr1_20161109T00Z.nc","20161109","00"
"t2myr_kf_0_5km_mbr0_20161109T18Z.nc","20161109","18"
