,Msg,Time[s],Time[UTC],Julian Day,Lon[deg],Lat[deg],Zg[m],Zp[m],Ws[m/s],Wd[deg],T[K],RH[%],P[Pa],DP[Pa],Pv[mA],Vb[V],Tb[K],Pmp[%],Mod,Cmd,potential_temperature,specific_humidity,temperature,altitude,wind_speed,u_wind,v_wind
0,2,0,14:54:50,76.621412,nan,nan,nan,-101.0,nan,nan,261.8,40.8,102519.2,17642.8,7.0,8.3,269,0,1,0,259.9446612570471,0.0006377367830948,261.8,17.4,nan,nan,nan
1,3,10,14:55:00,76.621528,nan,nan,nan,-85.9,nan,nan,259.1,39.6,102336.1,16609.1,11.0,8.3,269,0,1,0,257.395290716765,0.0004985814020369,259.1,30.63405006079808,nan,nan,nan
2,4,20,14:55:10,76.621644,nan,nan,nan,-62.7,nan,nan,258.5,38.8,102054.7,16673.1,15.0,8.2,269,100,1,0,257.0014498336573,0.0004663551570563,258.5,51.01922963939668,nan,nan,nan
3,5,30,14:55:20,76.621759,nan,nan,nan,-35.0,nan,nan,258.1,39.2,101720.7,16701.9,14.0,8.2,270,100,1,0,256.8443377549027,0.0004574019709337,258.1,75.28793555901105,nan,nan,nan
4,6,40,14:55:30,76.621875,nan,nan,nan,-7.2,nan,nan,257.8,39.6,101386.7,16849.0,7.0,8.2,270,100,1,0,256.78710339654,0.0004522515164903,257.8,99.63645897780349,nan,nan,nan
5,7,50,14:55:40,76.621991,nan,nan,nan,21.0,nan,nan,257.4,40.0,101047.6,17073.6,15.0,8.2,270,100,1,0,256.6343319657452,0.0004434198358632,257.4,124.4389678338452,nan,nan,nan
6,8,60,14:55:50,76.622106,nan,nan,nan,54.2,nan,nan,257.1,40.0,100650.8,17363.6,14.0,8.2,270,100,1,0,256.6236942460216,0.0004342123355764,257.1,153.5676802803274,nan,nan,nan
7,9,70,14:56:00,76.622222,nan,nan,nan,86.9,nan,nan,257.0,40.8,100260.9,17723.0,14.0,8.2,270,100,1,0,256.8086503215847,0.0004409347947143,257.0,182.3019437528892,nan,nan,nan
8,10,80,14:56:10,76.622338,nan,nan,nan,119.6,nan,nan,256.6,41.6,99872.6,18073.1,12.0,8.2,270,100,1,0,256.6935255326513,0.000436522440532,256.6,211.029564756732,nan,nan,nan
9,11,90,14:56:20,76.622454,nan,nan,nan,150.7,nan,nan,256.4,42.4,99503.0,18423.6,5.0,8.2,270,100,1,0,256.7654377139096,0.0004391642837516,256.4,238.4776447233329,nan,nan,nan
10,12,100,14:56:30,76.622569,11.920426,78.91952,136.1,181.9,nan,nan,256.1,43.5,99135.1,18791.6,10.0,8.3,270,100,1,0,256.7367191110781,0.0004410031409358,256.1,265.9009153539703,nan,nan,nan
11,13,110,14:56:40,76.622685,11.926173,78.919178,309.7,213.1,12.9,107.2,255.9,44.3,98767.2,19155.7,12.0,8.3,270,100,1,0,256.8090173222259,0.0004432782985407,255.9,293.4261458351642,12.9,12.32309087137823,-3.814633845568201
12,14,120,14:56:50,76.622801,11.926318,78.91849,328.4,240.8,7.7,177.7,255.7,45.1,98441.7,19485.0,10.0,8.3,270,100,1,0,256.8505651891076,0.0004452209852609,255.7,317.864749838661,7.7,0.3090148025007122,-7.693796842381234
13,15,130,14:57:00,76.622917,11.926645,78.918194,342.6,265.5,3.4,168.0,255.5,45.9,98151.7,19767.3,12.0,8.3,270,100,1,0,256.8662019010757,0.0004468613680291,255.5,339.7061711793988,3.4,0.7068997487803815,-3.325701842494939
14,16,140,14:57:10,76.623032,11.927237,78.917819,380.1,289.5,4.4,163.1,255.4,47.1,97872.0,19986.0,12.0,8.3,270,100,1,0,256.9752117790392,0.0004559900982674,255.4,360.8330672739246,4.4,1.279089651832311,-4.209979769853473
15,17,150,14:57:20,76.623148,11.927714,78.917282,402.5,313.3,6.1,170.3,255.1,47.8,97593.9,20225.9,12.0,8.3,270,100,1,0,256.8822266004231,0.0004524636916678,255.1,381.899053507467,6.1,1.027785215346514,-6.012791161442007
16,18,160,14:57:30,76.623264,11.928106,78.916879,435.7,339.8,4.6,169.4,255.0,48.6,97285.4,20519.2,12.0,8.3,270,100,1,0,257.0140308331984,0.0004576032594806,255.0,405.3381754147109,4.6,0.8461762128185133,-4.521502606087949
17,19,170,14:57:40,76.62338,11.928415,78.916351,517.5,369.9,5.9,173.6,254.8,49.4,96936.1,20815.1,10.0,8.3,270,100,1,0,257.0766429786162,0.0004589613436936,254.8,431.9670779192759,5.9,0.657666700017322,-5.863230723047519
