, Msg, Time[s], UTC[hms], Julian Day,      Lon[d],     Lat[d], Alt[m], HDoP,   LonMsg[d],  LatMsg[d],  Zp[m], S[m/s], D[deg],  T[K], RH[%],    P[Pa], DP[Pa], Pv[mA], Vb[V], Tb[K], PP[%], M, C,potential_temperature,specific_humidity,temperature,altitude,lon_filled,lat_filled,lat_all,lon_all,temp_at_interp,temp_at_coords
0,3,0, 14:58:50,76.62419,         nan,        nan,    nan,23.2,         nan,        nan,-13.1,    nan,    nan,258.5,38.8,101457.9,24027,20.0,8.3,271,100,1,0,257.4326874323373,0.4690983713130143,258.5,17.4,24.181618,70.52776,78.94859,11.85978,258.5,nan
1,4,10, 14:59:00,76.624306,         nan,        nan,    nan,23.2,         nan,        nan,5.9,    nan,    nan,258.5,39.6,101229.0,24347,20.0,8.3,271,100,1,0,257.5989530216706,0.4798531032005344,258.5,34.23787335262188,24.181618,70.52776,78.94859,11.85978,258.5,nan
2,5,20, 14:59:10,76.624421,         nan,        nan,    nan,23.2,   11.859780,  78.948590,24.0,    nan,    nan,258.4,40.0,101012.0,24622,17.0,8.3,271,100,1,0,257.6573092501421,0.4817653779837216,258.4,50.23557666332028,nan,nan,78.94859,11.85978,nan,258.4
3,6,30, 14:59:20,76.624537,         nan,        nan,    nan,23.2,         nan,        nan,40.6,    nan,    nan,258.1,40.4,100813.6,24900,19.0,8.3,271,100,1,0,257.5028499220792,0.4756456687918607,258.1,64.89215174680113,24.181618,70.52776,78.94447083333333,11.869376666666668,258.1,nan
4,7,40, 14:59:30,76.624653,         nan,        nan,    nan,23.2,         nan,        nan,56.5,    nan,    nan,258.1,40.8,100623.7,25140,24.0,8.2,271,100,1,0,257.6416732534605,0.4812615719639915,258.1,78.9478408819327,24.181618,70.52776,78.94035166666666,11.878973333333334,258.1,nan
5,8,50, 14:59:40,76.624769,         nan,        nan,    nan,23.2,         nan,        nan,72.1,    nan,    nan,258.0,41.2,100437.2,25395,24.0,8.3,271,100,1,0,257.678463976104,0.4828829895717955,258.0,92.77771669028726,24.181618,70.52776,78.93623249999999,11.888570000000001,258.0,nan
6,9,60, 14:59:50,76.624884,         nan,        nan,    nan,3.9,         nan,        nan,85.3,    nan,    nan,258.0,42.0,100279.5,25617,21.0,8.3,271,100,1,0,257.7942355987523,0.4930334876179463,258.0,104.4919863271693,24.181618,70.52776,78.93211333333333,11.898166666666667,258.0,nan
7,10,70, 15:00:00,76.625,         nan,        nan,    nan,4.4,         nan,        nan,94.9,    nan,    nan,258.0,42.4,100165.9,25868,20.0,8.3,271,100,1,0,257.8777774366785,0.4982935283591081,258.0,112.9418407234633,24.181618,70.52776,78.92799416666666,11.907763333333333,258.0,nan
8,11,80, 15:00:10,76.625116,   11.917360,  78.923875,  141.8,2.8,         nan,        nan,102.1,    nan,    nan,258.0,43.1,100079.5,26046,19.0,8.3,272,100,1,0,257.9413979085033,0.5069573581598494,258.0,119.3749090304418,nan,nan,78.923875,11.91736,nan,258.0
9,12,90, 15:00:20,76.625231,         nan,        nan,    nan,23.2,         nan,        nan,111.7,    nan,    nan,258.0,44.3,99965.9,26247,18.0,8.3,272,100,1,0,258.0251546047243,0.5216643201131977,258.0,127.8416593037942,24.181618,70.52776,78.93623249999999,11.888570000000001,258.0,nan
10,13,100, 15:00:30,76.625347,         nan,        nan,    nan,23.2,   11.859780,  78.948590,124.3,    nan,    nan,257.8,44.7,99816.7,26469,18.0,8.2,272,100,1,0,257.9352401943663,0.5185255357324955,257.8,138.9763506988226,nan,nan,78.94859,11.85978,nan,257.8
11,14,110, 15:00:40,76.625463,         nan,        nan,    nan,23.2,         nan,        nan,137.6,    nan,    nan,257.7,45.5,99659.0,26707,20.0,8.3,272,100,1,0,257.9517506239437,0.5242872056425216,257.7,150.7634984589943,24.181618,70.52776,78.94285333333333,11.853398333333335,257.7,nan
12,15,120, 15:00:50,76.625579,         nan,        nan,    nan,23.2,         nan,        nan,145.6,    nan,    nan,257.6,45.9,99564.1,26882,18.0,8.3,272,100,1,0,257.9218847309747,0.5250367520539092,257.6,157.8657081952997,24.181618,70.52776,78.93711666666667,11.847016666666667,257.6,nan
13,16,130, 15:01:00,76.625694,         nan,        nan,    nan,2.9,         nan,        nan,158.8,    nan,    nan,257.5,46.3,99408.1,27088,17.0,8.3,272,100,1,0,257.9373516674054,0.5260672398760166,257.5,169.5552968000371,24.181618,70.52776,78.93137999999999,11.840635,257.5,nan
14,17,140, 15:01:10,76.62581,         nan,        nan,    nan,23.2,         nan,        nan,177.8,    nan,    nan,257.3,47.1,99182.6,27370,22.0,8.3,272,100,1,0,257.9043843486725,0.5275485966509835,257.3,186.4852114220332,24.181618,70.52776,78.92564333333333,11.834253333333335,257.3,nan
15,18,150, 15:01:20,76.625926,         nan,        nan,    nan,5.5,         nan,        nan,194.1,    nan,    nan,257.2,47.5,98991.0,27684,19.0,8.3,272,100,1,0,257.9466898487199,0.5286493584304055,257.2,200.900282328419,24.181618,70.52776,78.91990666666666,11.827871666666667,257.2,nan
16,19,160, 15:01:30,76.626042,         nan,        nan,    nan,23.2,   11.821490,  78.914170,203.7,    nan,    nan,257.2,47.8,98877.4,27904,20.0,8.3,272,100,1,0,258.0313699467767,0.5325993964051746,257.2,209.4601860278542,nan,nan,78.91417,11.82149,nan,257.2
17,20,170, 15:01:40,76.626157,         nan,        nan,    nan,23.2,         nan,        nan,212.9,    nan,    nan,257.1,48.2,98768.9,28074,22.0,8.3,272,100,1,0,258.012010538446,0.5331951842077541,257.1,217.6449853351201,24.181618,70.52776,78.91990666666666,11.827871666666667,257.1,nan
18,21,180, 15:01:50,76.626273,         nan,        nan,    nan,23.2,         nan,        nan,221.6,    nan,    nan,257.0,48.6,98667.2,28233,19.0,8.3,272,100,1,0,257.9876197563171,0.5337148318836956,257.0,225.324987975305,24.181618,70.52776,78.92564333333333,11.834253333333335,257.0,nan
19,22,190, 15:02:00,76.626389,         nan,        nan,    nan,23.2,         nan,        nan,233.7,    nan,    nan,257.0,49.0,98524.7,28398,13.0,8.3,273,100,1,0,258.0942284520893,0.5388858318462221,257.0,236.0993809142328,24.181618,70.52776,78.93137999999999,11.840635,257.0,nan
20,23,200, 15:02:10,76.626505,         nan,        nan,    nan,3.1,         nan,        nan,246.0,    nan,    nan,257.0,49.4,98380.6,28641,21.0,8.3,273,100,1,0,258.202235968802,0.5440806599407194,257.0,247.0106079906079,24.181618,70.52776,78.93711666666667,11.847016666666667,257.0,nan
21,24,210, 15:02:20,76.62662,         nan,        nan,    nan,5.4,         nan,        nan,260.6,    nan,    nan,256.9,49.8,98209.4,28897,25.0,8.3,273,100,1,0,258.2303026759816,0.5448855876488761,256.9,259.9946343700845,24.181618,70.52776,78.94285333333333,11.853398333333335,256.9,nan
