, Msg, Time[s], UTC[hms], Julian Day,      Lon[d],     Lat[d], Alt[m], HDoP,   LonMsg[d],  LatMsg[d],  Zp[m], S[m/s], D[deg],  T[K], RH[%],    P[Pa], DP[Pa], Pv[mA], Vb[V], Tb[K], PP[%], M, C,potential_temperature,specific_humidity,temperature,altitude
0,1,0, 22:50:00,87.951389,         nan,        nan,    nan, 23.2,         nan,        nan,-138.0,    nan,    nan,264.0,42.4,102968.5,25280,0.0,8.3,272,100,1,0,261.8015988870251,0.0007852553882218622,264.0,17.4
1,2,10, 22:50:10,87.951505,         nan,        nan,    nan, 23.2,         nan,        nan,-126.5,    nan,    nan,263.7,42.4,102827.8,24940,1.0,8.3,272,100,1,0,261.6063317306786,0.0007680409513177905,263.7,27.87410688214876
2,3,20, 22:50:20,87.95162,         nan,        nan,    nan, 23.2,         nan,        nan,-115.3,    nan,    nan,263.6,42.0,102692.2,24801,1.0,8.3,272,100,1,0,261.605787545047,0.00075583722189423,263.6,37.98212612073753
3,4,30, 22:50:30,87.951736,         nan,        nan,    nan, 23.2,         nan,        nan,-106.8,    nan,    nan,263.5,42.0,102588.7,24759,0.0,8.3,272,100,1,0,261.5819343239894,0.0007506727770734251,263.5,45.70630356449539
4,5,40, 22:50:40,87.951852,         nan,        nan,    nan, 23.2,         nan,        nan,-102.3,    nan,    nan,263.6,42.0,102534.5,24680,0.0,8.3,272,100,1,0,261.7207401570182,0.0007569997138349204,263.6,49.75434465398251
5,6,50, 22:50:50,87.951968,         nan,        nan,    nan,  2.0,         nan,        nan,-100.9,    nan,    nan,263.6,42.4,102517.5,24045,0.0,8.3,272,0,1,0,261.7331455785109,0.0007643359601805412,263.6,51.02446628184183
6,7,60, 22:51:00,87.952083,         nan,        nan,    nan,  2.8,         nan,        nan,-99.9,    nan,    nan,263.3,42.4,102505.7,23660,1.0,8.3,272,0,1,0,261.4438727988431,0.0007465843676384461,263.3,51.90620395858153
7,8,70, 22:51:10,87.952199,         nan,        nan,    nan,  2.0,         nan,        nan,-98.9,    nan,    nan,263.2,42.7,102493.8,23283,0.0,8.3,272,0,1,0,261.353251219694,0.0007460484160652549,263.2,52.79551679013489
8,9,80, 22:51:20,87.952315,         nan,        nan,    nan,  2.1,         nan,        nan,-100.8,    nan,    nan,263.1,42.7,102515.8,22921,0.0,8.3,272,0,1,0,261.2379249871869,0.0007400252704254447,263.1,51.15149002844516
9,10,90, 22:51:30,87.952431,         nan,        nan,    nan,  1.9,         nan,        nan,-103.3,    nan,    nan,263.2,43.1,102546.4,22582,3.0,8.3,272,0,1,0,261.3149227944603,0.0007526508982333667,263.2,48.86538480539591
10,11,100, 22:51:40,87.952546,   11.906943,  78.925241,   56.0,  1.4,         nan,        nan,-107.6,    nan,    nan,263.0,43.1,102598.9,22289,0.0,8.4,272,0,1,0,261.0781539166324,0.0007404808922856911,263.0,44.94473421141284
11,12,110, 22:51:50,87.952662,   11.905078,  78.925320,   56.8,  1.3,         nan,        nan,-115.2,    4.1,  282.5,263.3,43.5,102690.5,22014,0.0,8.4,272,0,1,0,261.309293699679,0.000764574905746246,263.3,38.10893377271768
12,13,120, 22:52:00,87.952778,   11.903545,  78.925585,   54.7,  1.6,         nan,        nan,-120.7,    4.4,  312.0,263.0,43.9,102758.3,21801,0.0,8.3,272,0,1,0,260.9623213116914,0.0007530553531629373,263.0,33.05317319421273
13,14,130, 22:52:10,87.952894,   11.901831,  78.925793,   60.2,  1.4,         nan,        nan,-119.9,    4.3,  302.3,263.0,43.9,102748.1,21670,0.0,8.4,272,0,1,0,260.9697265146997,0.0007531301104051857,263.0,33.81356113245642
