 Msg, Time[s], UTC[hms], Julian Day,      Lon[d],     Lat[d], Alt[m], HDoP,   LonMsg[d],  LatMsg[d], CEPr,  Zp[m], S[m/s], D[deg],  T[K], RH[%],    P[Pa], DP[Pa], Pv[mA], Vb[V], Tb[K], PP[%], M, C
   2,       0,  2:06:10,  94.087616,         nan,        nan,    nan, 23.2,         nan,        nan,  nan,  -35.5,    nan,    nan, 260.8,  42.7, 101727.5,  26596,    1.0,   8.2,   262,     0, 1, 0
   3,      10,  2:06:20,  94.087731,         nan,        nan,    nan, 23.2,         nan,        nan,  nan,  -34.7,    nan,    nan, 261.2,  42.7, 101717.3,  26477,    1.0,   8.2,   262,     0, 1, 0
   4,      20,  2:06:30,  94.087847,         nan,        nan,    nan, 23.2,         nan,        nan,  nan,  -17.1,    nan,    nan, 261.5,  42.7, 101505.3,  26319,    0.0,   8.2,   262,     0, 1, 0
   5,      30,  2:06:40,  94.087963,         nan,        nan,    nan, 23.2,   11.859780,  78.948590,  4.0,    2.4,    nan,    nan, 261.6,  42.7, 101271.4,  26808,    0.0,   8.1,   262,   100, 1, 0
   6,      40,  2:06:50,  94.088079,         nan,        nan,    nan, 23.2,         nan,        nan,  nan,   15.1,    nan,    nan, 261.5,  42.7, 101118.8,  27014,    1.0,   8.0,   262,   100, 1, 0
   7,      50,  2:07:00,  94.088194,         nan,        nan,    nan, 23.2,         nan,        nan,  nan,   27.6,    nan,    nan, 261.5,  43.1, 100969.6,  27160,    0.0,   8.0,   262,   100, 1, 0
   8,      60,  2:07:10,  94.088310,         nan,        nan,    nan, 23.2,         nan,        nan,  nan,   39.6,    nan,    nan, 261.4,  43.1, 100825.5,  27308,    2.0,   8.0,   262,   100, 1, 0
   9,      70,  2:07:20,  94.088426,         nan,        nan,    nan, 23.2,         nan,        nan,  nan,   52.8,    nan,    nan, 261.4,  43.1, 100667.8,  27477,    1.0,   8.0,   262,   100, 1, 0
  10,      80,  2:07:30,  94.088542,         nan,        nan,    nan, 23.2,         nan,        nan,  nan,   67.7,    nan,    nan, 261.3,  43.1, 100489.8,  27704,    0.0,   8.0,   262,   100, 1, 0
  11,      90,  2:07:40,  94.088657,         nan,        nan,    nan, 23.2,   11.859780,  78.948590,  3.0,   82.3,    nan,    nan, 261.2,  43.1, 100315.1,  27913,    0.0,   8.0,   263,   100, 1, 0
  12,     100,  2:07:50,  94.088773,         nan,        nan,    nan, 23.2,         nan,        nan,  nan,   97.2,    nan,    nan, 261.1,  43.5, 100138.8,  28128,    0.0,   8.0,   263,   100, 1, 0
  13,     110,  2:08:00,  94.088889,         nan,        nan,    nan, 23.2,         nan,        nan,  nan,  111.7,    nan,    nan, 261.0,  43.5,  99965.9,  28289,    1.0,   8.0,   263,   100, 1, 0
  14,     120,  2:08:10,  94.089005,         nan,        nan,    nan, 23.2,         nan,        nan,  nan,  126.1,    nan,    nan, 261.0,  43.5,  99794.6,  28483,    1.0,   8.0,   263,   100, 1, 0
  15,     130,  2:08:20,  94.089120,         nan,        nan,    nan, 23.2,         nan,        nan,  nan,  141.1,    nan,    nan, 260.9,  43.9,  99616.6,  28684,    0.0,   8.0,   263,   100, 1, 0
  16,     140,  2:08:30,  94.089236,         nan,        nan,    nan, 23.2,         nan,        nan,  nan,  157.2,    nan,    nan, 260.9,  43.9,  99426.7,  28928,    0.0,   8.0,   263,   100, 1, 0
  17,     150,  2:08:40,  94.089352,         nan,        nan,    nan,  2.9,   11.859780,  78.948590,  4.0,  174.4,    nan,    nan, 260.9,  44.3,  99223.3,  29135,    1.0,   8.0,   263,   100, 1, 0
  18,     160,  2:08:50,  94.089468,         nan,        nan,    nan,  2.5,         nan,        nan,  nan,  195.1,    nan,    nan, 260.8,  44.3,  98979.1,  29402,    0.0,   8.0,   263,   100, 1, 0
  19,     170,  2:09:00,  94.089583,   11.887961,  78.927430,  235.2,  2.5,         nan,        nan,  nan,  217.0,    nan,    nan, 260.8,  44.3,  98721.4,  29667,    0.0,   8.1,   263,   100, 1, 0
