 Msg, Time[s], UTC[hms], Julian Day,      Lon[d],     Lat[d], Alt[m], HDoP,   LonMsg[d],  LatMsg[d], CEPr,  Zp[m], S[m/s], D[deg],  T[K], RH[%],    P[Pa], DP[Pa], Pv[mA], Vb[V], Tb[K], PP[%], M, C                  
   2,       0,  2:06:20,  94.087731,         nan,        nan,    nan, 23.2,         nan,        nan,  nan,  -40.7,    nan,    nan, 261.4,  42.7, 101790.2,  22147,    0.0,   8.3,   262,     0, 1, 0                              
   3,      10,  2:06:30,  94.087847,         nan,        nan,    nan, 23.2,         nan,        nan,  nan,  -29.9,    nan,    nan, 261.7,  42.7, 101659.6,  22812,    0.0,   8.1,   262,   100, 1, 0                              
   4,      20,  2:06:40,  94.087963,         nan,        nan,    nan, 23.2,         nan,        nan,  nan,  -17.5,    nan,    nan, 261.8,  43.1, 101510.4,  23098,    0.0,   8.1,   262,   100, 1, 0                              
   5,      30,  2:06:50,  94.088079,         nan,        nan,    nan, 23.2,   11.859780,  78.948590,  5.0,   -7.8,    nan,    nan, 261.7,  43.1, 101393.4,  23357,    0.0,   8.1,   262,   100, 1, 0                              
   6,      40,  2:07:00,  94.088194,         nan,        nan,    nan, 23.2,         nan,        nan,  nan,    0.5,    nan,    nan, 261.7,  43.5, 101293.4,  23583,    1.0,   8.1,   262,   100, 1, 0                              
   7,      50,  2:07:10,  94.088310,         nan,        nan,    nan, 23.2,         nan,        nan,  nan,    9.9,    nan,    nan, 261.6,  43.5, 101181.5,  23752,    0.0,   8.0,   262,   100, 1, 0                              
   8,      60,  2:07:20,  94.088426,         nan,        nan,    nan, 23.2,         nan,        nan,  nan,   22.7,    nan,    nan, 261.6,  43.5, 101027.2,  24009,    0.0,   8.0,   262,   100, 1, 0                              
   9,      70,  2:07:30,  94.088542,         nan,        nan,    nan, 23.2,         nan,        nan,  nan,   35.2,    nan,    nan, 261.5,  43.9, 100878.0,  24234,    2.0,   8.0,   262,   100, 1, 0                              
  10,      80,  2:07:40,  94.088657,         nan,        nan,    nan,  3.2,         nan,        nan,  nan,   47.7,    nan,    nan, 261.4,  44.3, 100728.8,  24490,    0.0,   8.1,   262,   100, 1, 0                              
  11,      90,  2:07:50,  94.088773,         nan,        nan,    nan,  3.5,   11.859780,  78.948590,  6.0,   62.6,    nan,    nan, 261.4,  44.3, 100550.8,  24775,    0.0,   8.1,   262,   100, 1, 0                              
  12,     100,  2:08:00,  94.088889,   11.904954,  78.925953,   14.9,  3.9,         nan,        nan,  nan,   75.4,    nan,    nan, 261.3,  44.7, 100398.2,  25046,    0.0,   8.1,   263,   100, 1, 0                              
  13,     110,  2:08:10,  94.089005,         nan,        nan,    nan,  4.6,         nan,        nan,  nan,   89.0,    nan,    nan, 261.1,  45.1, 100235.5,  25308,    0.0,   8.0,   263,   100, 1, 0                              
  14,     120,  2:08:20,  94.089120,         nan,        nan,    nan,  4.4,         nan,        nan,  nan,  101.0,    nan,    nan, 261.1,  45.5, 100093.0,  25584,    0.0,   8.1,   263,   100, 1, 0                              
  15,     130,  2:08:30,  94.089236,         nan,        nan,    nan,  4.0,         nan,        nan,  nan,  113.6,    nan,    nan, 261.0,  45.5,  99943.8,  25867,    1.0,   8.1,   263,   100, 1, 0                              
  16,     140,  2:08:40,  94.089352,         nan,        nan,    nan,  4.0,         nan,        nan,  nan,  125.7,    nan,    nan, 261.0,  45.9,  99799.7,  26144,    0.0,   8.1,   263,   100, 1, 0                              
  17,     150,  2:08:50,  94.089468,         nan,        nan,    nan,  4.5,   11.859780,  78.948590,  5.0,  139.1,    nan,    nan, 260.9,  46.3,  99640.4,  26407,    0.0,   8.1,   263,   100, 1, 0                              
  18,     160,  2:09:00,  94.089583,         nan,        nan,    nan,  4.5,         nan,        nan,  nan,  152.5,    nan,    nan, 260.8,  46.7,  99482.7,  26675,    0.0,   8.0,   263,   100, 1, 0                              
  19,     170,  2:09:10,  94.089699,         nan,        nan,    nan,  5.1,         nan,        nan,  nan,  167.6,    nan,    nan, 260.7,  47.1,  99303.0,  26935,    0.0,   8.1,   263,   100, 1, 0                              
  20,     180,  2:09:20,  94.089815,         nan,        nan,    nan,  9.1,         nan,        nan,  nan,  184.2,    nan,    nan, 260.7,  47.1,  99108.0,  27206,    1.0,   8.0,   263,   100, 1, 0                              
  21,     190,  2:09:30,  94.089931,         nan,        nan,    nan,  4.6,         nan,        nan,  nan,  201.7,    nan,    nan, 260.8,  46.7,  98901.1,  27504,    0.0,   8.0,   263,   100, 1, 0                              
  22,     200,  2:09:40,  94.090046,         nan,        nan,    nan,  4.6,         nan,        nan,  nan,  220.3,    nan,    nan, 260.9,  45.9,  98682.4,  27784,    0.0,   8.1,   264,   100, 1, 0                              
  23,     210,  2:09:50,  94.090162,         nan,        nan,    nan, 11.6,         nan,        nan, 15.0,  238.8,    nan,    nan, 261.1,  45.1,  98465.4,  28120,    0.0,   8.1,   264,   100, 1, 0                              
  24,     220,  2:10:00,  94.090278,         nan,        nan,    nan,  4.2,         nan,        nan,  nan,  255.8,    nan,    nan, 261.0,  43.9,  98265.3,  28403,    1.0,   8.0,   264,   100, 1, 0                              
  25,     230,  2:10:10,  94.090394,         nan,        nan,    nan,  4.6,         nan,        nan,  nan,  275.8,    nan,    nan, 260.9,  42.7,  98031.4,  28668,    0.0,   8.0,   264,   100, 1, 0                              
  26,     240,  2:10:20,  94.090509,         nan,        nan,    nan,  1.6,         nan,        nan,  nan,  295.4,    nan,    nan, 260.8,  41.6,  97802.5,  28935,    0.0,   8.1,   264,   100, 1, 0                              
  27,     250,  2:10:30,  94.090625,         nan,        nan,    nan,  1.5,         nan,        nan,  nan,  316.4,    nan,    nan, 260.7,  40.8,  97558.3,  29206,    2.0,   8.0,   264,   100, 1, 0                              
  28,     260,  2:10:40,  94.090741,   11.858415,  78.929726,  366.4,  0.9,         nan,        nan,  nan,  336.9,    6.7,  292.9, 260.6,  40.4,  97319.3,  29479,    0.0,   8.1,   264,   100, 1, 0                              
  29,     270,  2:10:50,  94.090856,         nan,        nan,    nan,  1.5,         nan,        nan,  nan,  357.3,    nan,    nan, 260.5,  39.6,  97081.9,  29728,    0.0,   8.0,   264,   100, 1, 0                              
