#################
#Updated 12.12.2022 
#Paths might change
#################
Name,              source,            type,    modelinfotype,    datetime;source;start,    datetime;source;end,       html_thredds,                                                               Thredds_archive,                                                                Thredds_latest,                                                            filename,                    exclude_filename,                                                                        access_requirments
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
AromeArctic,       Thredds_archive,   netcdf,    html_thredds,              2015010100,        Now - 2 days,         https://thredds.met.no/thredds/catalog/aromearcticarchive/,                  https://thredds.met.no/thredds/dodsC/aromearcticarchive/,       none,                                                                            *,                            "_incomplete, _vc_, thunder, _kf_, _ppalgs_, _pp_, t2myr, wbkz, vtk,_preop_,subset,tracking",    False
AromeArctic,       Thredds_latest,    netcdf,    html_thredds,              Now-1 day,         Now-12 hours,         https://thredds.met.no/thredds/catalog/aromearcticlatest/latest/,            none,                                                                            https://thredds.met.no/thredds/dodsC/aromearcticlatest/latest/,       *,                            "_incomplete, _vc_, thunder, _kf_, _ppalgs_, _pp_, t2myr, wbkz, vtk,_preop_,subset,tracking",    False
MEPS,              Thredds_archive,   netcdf,    html_thredds,              2015010100,        Now - 2 days,         https://thredds.met.no/thredds/catalog/meps25epsarchive/,                    https://thredds.met.no/thredds/dodsC/meps25epsarchive/,         none,                                                                            *,                            "_incomplete, _vc_, thunder, _kf_, _ppalgs_, _pp_, t2myr, wbkz, vtk,_preop_,subset,tracking",    False
MEPS,              Thredds_latest,    netcdf,    html_thredds,              Now-1 day,         Now-12 hours,         https://thredds.met.no/thredds/catalog/mepslatest/,                          none,                                                                            https://thredds.met.no/thredds/dodsC/mepslatest/,       *,                            "_incomplete, _vc_, thunder, _kf_, _ppalgs_, _pp_, t2myr, wbkz, vtk,_preop_,subset,tracking",    False
test_none,         Localfolder,       netcdf,    none,                      2015010100,        2015010100,           none,                                                                        none,                                                                            none,                                                                            test_{YYYY}_{MM}_{DD}.nc,     none,                                                                                  False
test,              Localfolder,       netcdf,    filepath,                  2016010100,        2016010100,           none,                                                                        none,                                                                            none,                                                                            *_{YYYY}_{MM}_{DD}.nc,        none,                                                                                  True
test_cyclone,      cyclone,           netcdf,    filepath,                  2016010100,        2016010100,           none,                                                                        none,                                                                            none,                                                                            *_{YYYY}_{MM}_{DD}.nc,        none,                                                                                  False
Marvins,           Thredds_archive,   netcdf,    filepath,                  none,              none,                 none,                                                                        none,                                                                            none,                                                                            none,                         none,                                                                                  none
none,               none,              none,      none,                      none,              none,                none,                                                                        none,                                                                            none,                                                                            none,                         none,                                                                                  none
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# "Between the two lines above, add your model and source of retrievement.
# If u want to save old settings here, but not activate it, put it under line") If two different places for archive and latest
#
#
